Station,District LGD Code,District,Tehsil,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm),
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/7/2024 8:30,13.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/8/2024 8:30,27.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/9/2024 8:30,10.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/12/2024 8:30,13.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-07-2024 08:30,14.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,15-07-2024 08:30,7.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,16-07-2024 08:30,31.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,17-07-2024 08:30,11.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,21-07-2024 08:30,25.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-07-2024 08:30,3.8,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-07-2024 08:30,65.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-07-2024 08:30,20.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,28-07-2024 08:30,22.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,29-07-2024 08:30,19.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,30-07-2024 08:30,12,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,31-07-2024 08:30,36.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/2/2024 8:30,70.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/3/2024 8:30,51.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/4/2024 8:30,11.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/5/2024 8:30,7.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/6/2024 8:30,13.6,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/7/2024 8:30,7.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,19-08-2024 08:30,22.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,20-08-2024 08:30,8.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,21-08-2024 08:30,5.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-08-2024 08:30,9.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,23-08-2024 08:30,3.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-08-2024 08:30,98.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-08-2024 08:30,52.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,28-08-2024 08:30,10.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/1/2024 8:30,32.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/2/2024 8:30,122.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/3/2024 8:30,117.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/4/2024 8:30,2.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,4/11/2021 8:30,2.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,14-04-2021 08:30,9.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/1/2021 8:30,0.5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/2/2021 8:30,10,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/3/2021 8:30,5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/4/2021 8:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/5/2021 8:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/6/2021 8:30,7.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/9/2021 8:30,5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/11/2021 8:30,10.7,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/12/2021 8:30,20.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,13-06-2021 08:30,5.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,14-06-2021 08:30,10.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,15-06-2021 08:30,30,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,16-06-2021 08:30,15.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,17-06-2021 08:30,4.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,18-06-2021 08:30,43.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,19-06-2021 08:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,20-06-2021 08:30,4.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-06-2021 08:30,10.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,23-06-2021 08:30,20.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,25-06-2021 08:30,4.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,27-06-2021 08:30,19,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,28-06-2021 08:30,17.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,30-06-2021 08:30,0.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-07-2021 08:30,10,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,22-07-2021 08:30,7,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,24-07-2021 08:30,10.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,25-07-2021 08:30,12.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,26-07-2021 08:30,9.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,31-07-2021 08:30,10.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,17-08-2021 08:30,65,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,18-08-2021 08:30,9.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,19-08-2021 08:30,15.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,20-08-2021 08:30,11.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-08-2021 08:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,22-08-2021 08:30,5.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,23-08-2021 08:30,3.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,24-08-2021 08:30,20.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,25-08-2021 08:30,85,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,29-08-2021 08:30,7.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,30-08-2021 08:30,23,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,31-08-2021 08:30,5.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/1/2021 8:30,4.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/2/2021 8:30,16.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/4/2021 8:30,30,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/5/2021 8:30,10.5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/6/2021 8:30,40.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/7/2021 8:30,48.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/8/2021 8:30,90.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/9/2021 8:30,10.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,9/11/2021 8:30,30,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,13-09-2021 08:30,20.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,14-09-2021 08:30,5.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,15-09-2021 08:30,4.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,17-09-2021 08:30,8.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,18-09-2021 08:30,4.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,20-09-2021 08:30,4.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-09-2021 08:30,25.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/1/2022 8:30,0.5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/2/2022 8:30,10,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/3/2022 8:30,5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/4/2022 8:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/5/2022 8:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/6/2022 8:30,7.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/9/2022 8:30,5,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/11/2022 8:30,10.7,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,6/12/2022 8:30,20.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,13-06-2022 08:30,5.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,14-06-2022 08:30,10.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,15-06-2022 08:30,30,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,16-06-2022 08:30,15.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,17-06-2022 08:30,4.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,18-06-2022 08:30,43.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,19-06-2022 08:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,20-06-2022 08:30,4.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-06-2022 08:30,10.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,23-06-2022 08:30,20.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,25-06-2022 08:30,4.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,27-06-2022 08:30,19,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,28-06-2022 08:30,17.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,30-06-2022 08:30,0.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/1/2022 8:30,77.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/3/2022 8:30,48.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/4/2022 8:30,30.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/5/2022 8:30,61.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/6/2022 8:30,25.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/7/2022 8:30,15.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/8/2022 8:30,151.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/9/2022 8:30,30.6,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/10/2022 8:30,40.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/11/2022 8:30,104,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,7/12/2022 8:30,52.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,13-07-2022 08:30,30.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,14-07-2022 08:30,134.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,15-07-2022 08:30,36,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,16-07-2022 08:30,15.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,17-07-2022 08:30,10.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,18-07-2022 08:30,126.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,19-07-2022 08:30,16.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,21-07-2022 08:30,15.8,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,22-07-2022 08:30,10.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,23-07-2022 08:30,106.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,24-07-2022 08:30,22.2,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,25-07-2022 08:30,6.4,
Ajaypur.,473,Chandrapur,CHANDRAPUR,20.01166667,79.50416667,27-07-2022 08:30,10.6,
